, latitude, longitude, measured_on,humidities:relative humidity (%),humidities:dewpoint
0,32.37862,-86.29727,2016-10-14,79.0,19.2
1,42.9217,-123.29935,2017-03-09,64.0,10.1
2,42.9217,-123.29935,2017-03-16,74.0,6.3
3,42.9217,-123.29935,2017-03-20,79.0,9.3
4,42.9217,-123.29935,2017-04-10,77.0,6.8
5,42.9217,-123.29935,2017-04-27,76.0,6.0
6,42.9217,-123.29935,2017-05-02,65.0,14.3
7,42.9217,-123.29935,2017-05-23,53.0,17.1
8,42.9217,-123.29935,2017-06-12,87.0,11.6
9,42.95427,-123.36017,2017-04-13,68.0,5.5
10,42.95427,-123.36017,2017-05-03,53.0,18.3
11,33.0,-117.0,2017-10-30,68.0,14.0
12,33.0,-117.0,2017-11-03,20.0,-2.6
13,33.0,-117.0,2017-11-03,14.0,-7.4
14,33.0,-117.0,2017-11-07,11.0,-8.1
15,33.0,-117.0,2017-11-07,11.0,-8.1
16,33.0,-117.0,2017-11-08,18.0,-2.4
17,33.0,-117.0,2017-11-09,29.0,3.4
18,33.0,-117.0,2017-11-09,29.0,2.5
19,33.0,-117.0,2017-11-28,68.0,14.0
20,35.477109999999996,-82.99928,2013-10-29,58.2,9.8
21,38.00355,-121.49061999999999,2013-04-25,27.0,1.1
22,38.00355,-121.49061999999999,2013-04-26,26.0,0.6
23,38.00355,-121.49061999999999,2013-04-26,26.0,0.6
24,38.00355,-121.49061999999999,2016-11-14,68.0,15.3
25,38.00355,-121.49061999999999,2016-11-15,65.0,12.3
26,38.00355,-121.49061999999999,2016-11-16,41.2,3.8
27,38.00355,-121.49061999999999,2016-11-17,47.0,7.5
28,38.00355,-121.49061999999999,2016-11-18,43.0,4.9
29,38.00355,-121.49061999999999,2016-12-06,41.0,0.8
30,38.00355,-121.49061999999999,2016-12-07,41.0,-4.1
31,38.00355,-121.49061999999999,2016-12-08,54.0,4.4
32,38.00355,-121.49061999999999,2016-12-09,66.0,9.5
33,38.00355,-121.49061999999999,2016-12-12,52.0,2.8
34,38.00355,-121.49061999999999,2016-12-13,43.0,-5.1
35,38.00355,-121.49061999999999,2016-12-14,60.0,7.9
36,38.00355,-121.49061999999999,2016-12-15,50.0,0.7
37,38.00355,-121.49061999999999,2016-12-19,60.0,3.7
38,38.00355,-121.49061999999999,2017-02-02,73.5,13.0
39,38.00355,-121.49061999999999,2017-02-08,80.2,15.6
40,38.00355,-121.49061999999999,2017-02-24,65.3,5.3
41,40.36735,-83.7537,2013-12-02,71.0,1.2
42,40.36735,-83.7537,2013-12-04,87.0,9.9
43,40.36735,-83.7537,2013-12-05,79.0,2.7
44,40.36735,-83.7537,2013-12-09,84.0,-6.3
