
YEAR_or_Season,VirusType,Count
2011,Influenza A H1N1v,1
2011,Influenza A H1N2v,1
2011,Influenza A H3N2v,12
2011,Influenza A H7N2,0
2012,Influenza A H1N1v,1
2012,Influenza A H1N2v,3
2012,Influenza A H3N2v,309
2012,Influenza A H7N2,0
2013,Influenza A H1N1v,2
2013,Influenza A H1N2v,0
2013,Influenza A H3N2v,19
2013,Influenza A H7N2,0
2014,Influenza A H1N1v,1
2014,Influenza A H1N2v,0
2014,Influenza A H3N2v,3
2014,Influenza A H7N2,0
2015,Influenza A H1N1v,3
2015,Influenza A H1N2v,0
2015,Influenza A H3N2v,3
2015,Influenza A H7N2,0
2016,Influenza A H1N1v,0
2016,Influenza A H1N2v,4
2016,Influenza A H3N2v,18
2016,Influenza A H7N2,1
2017,Influenza A H1N1v,1
2017,Influenza A H1N2v,4
2017,Influenza A H3N2v,62
2017,Influenza A H7N2,0
2018,Influenza A H1N1v,0
2018,Influenza A H1N2v,13
2018,Influenza A H3N2v,1
2018,Influenza A H7N2,0
